italo-disco.net,,SPOTIFY,,,,,,,,,,CONFRONTO
NOME,,SPOTY ARTIST,,,,,,,,,,
Ago,,Ago,PRESENTE,,,,,,,,,1
Air Mail,,Alan Barry,NON PRESENTE,,,,,,,,,#N/A
AlbErt One,,Alan Ross,PRESENTE,,,,,,,,,4
Alan Ross,,Albert One,PRESENTE,,,,,,,,,3
Aleph,,Alexander Robotnick,NON PRESENTE,,,,,,,,,#N/A
Amadeus Liszt,,Alexander Robotnick / Martine Michellod,NON PRESENTE,,,,,,,,,#N/A
Ameli,,Amin Peck,PRESENTE,,,,,,,,,8
Amin Peck,,Answering Service,NON PRESENTE,,,,,,,,,#N/A
Atrium,,Anthony's Games,NON PRESENTE,,,,,,,,,#N/A
Baltimora,,Azoto,NON PRESENTE,,,,,,,,,#N/A
Ben Bruce,,B.W.H.,NON PRESENTE,,,,,,,,,#N/A
Bortoloti,,Babys Gang,NON PRESENTE,,,,,,,,,#N/A
Body Power,,Baltimora,PRESENTE,,,,,,,,,10
Body Power,,Black Devil Disco Club,NON PRESENTE,,,,,,,,,#N/A
Body Power,,Blackway,NON PRESENTE,,,,,,,,,#N/A
Brian Ice,,Blackway / Helene,NON PRESENTE,,,,,,,,,#N/A
Carol Kayne,,Blue System,NON PRESENTE,,,,,,,,,#N/A
Carrara,,Bo Boss,NON PRESENTE,,,,,,,,,#N/A
Casanova,,Bobby O,NON PRESENTE,,,,,,,,,#N/A
Cat Gang,,Brand Image / MC Groove,NON PRESENTE,,,,,,,,,#N/A
Check Up Twins,,Brian Ice,PRESENTE,,,,,,,,,16
Cherry,,C.C. Catch,NON PRESENTE,,,,,,,,,#N/A
Chieregato,,Capricorn,NON PRESENTE,,,,,,,,,#N/A
Chris,,Carrara,PRESENTE,,,,,,,,,18
Closed,,Casco,NON PRESENTE,,,,,,,,,#N/A
Closed,,Cellophane,NON PRESENTE,,,,,,,,,#N/A
Crivellente,,Cerrone,NON PRESENTE,,,,,,,,,#N/A
Cundari,,Charlie,NON PRESENTE,,,,,,,,,#N/A
Danny Keith,,Chip Chip,NON PRESENTE,,,,,,,,,#N/A
Danuta,,Claudio Mingardi,NON PRESENTE,,,,,,,,,#N/A
Dave Rodgers,,Cliff Turner,NON PRESENTE,,,,,,,,,#N/A
De Gama,,Clio / Roberto Ferrante,NON PRESENTE,,,,,,,,,#N/A
Del Faro,,Cori Josias,NON PRESENTE,,,,,,,,,#N/A
Den Harrow,,Cristalli Liquidi,NON PRESENTE,,,,,,,,,#N/A
Diego,,Cruisin' Gang,NON PRESENTE,,,,,,,,,#N/A
Divine,,Cube,NON PRESENTE,,,,,,,,,#N/A
Diviacchi,,Cyber People,NON PRESENTE,,,,,,,,,#N/A
Doctor's Cat,,Cyber People / Block & Crown,NON PRESENTE,,,,,,,,,#N/A
Dyva,,Danny Boy And The Serious Party Gods- vocals-Danny Williams,NON PRESENTE,,,,,,,,,#N/A
Eddy Brando,,Danny Keith,PRESENTE,,,,,,,,,29
Eddy Huntington,,David Lyme,NON PRESENTE,,,,,,,,,#N/A
Fancy,,David Lyme / Greg Tauchert,NON PRESENTE,,,,,,,,,#N/A
Farina,,Dd Sound,NON PRESENTE,,,,,,,,,#N/A
Florence,,Dee D. Jackson,NON PRESENTE,,,,,,,,,#N/A
Fred Ventura,,Den Harrow,PRESENTE,,,,,,,,,34
Fun Fun,,Desireless,NON PRESENTE,,,,,,,,,#N/A
Gary Low,,Diana Est,NON PRESENTE,,,,,,,,,#N/A
Gazebo,,Digital Emotion,NON PRESENTE,,,,,,,,,#N/A
Gene Ramone,,DJ's Project,NON PRESENTE,,,,,,,,,#N/A
George Aaron,,Doctor's Cat,PRESENTE,,,,,,,,,38
G. G. Near,,Doctor's Cat / Gatto / Martinelli,NON PRESENTE,,,,,,,,,#N/A
Hank Shostak,,Duke Lake,NON PRESENTE,,,,,,,,,#N/A
Helicon,,Easy Going,NON PRESENTE,,,,,,,,,#N/A
Hivoh,,Eddy Huntington,PRESENTE,,,,,,,,,41
If,,Eighth Wonder,NON PRESENTE,,,,,,,,,#N/A
