id,uri,preview,title,genres,artists,artistsIds,albumTitle,albumId,image,albumReleaseYear,duration,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
6hJHHOcgca3bZJsqPtg2og,spotify:track:6hJHHOcgca3bZJsqPtg2og,https://p.scdn.co/mp3-preview/29cb5b8e51042c8c0704fcc7b41b456410404fab?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,How old are you,italo disco | new italo disco,Miko Mission,1fESiZYlQy97JZgBTunEu3,Disco Music,2FJaVdDv3wVUg99pJCgova,https://i.scdn.co/image/ab67616d000048518c880d3208fc8316f4cfb565,2011,192427,1,0,4,0.00205,0.622,0.91,0.129,0.303,-7.146,0.0304,0.826,114.751
4orkx4Ix20VVK62YbJUHiZ,spotify:track:4orkx4Ix20VVK62YbJUHiZ,https://p.scdn.co/mp3-preview/2d19700c53d8b438ade5c34346cef866e83f57b1?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,The Night,italo disco,Valerie Dore,6IwjxNTPn0EMh4U855D3qs,Italo Golden Classics,4WB84VQo9GK2xkbqd922Ym,https://i.scdn.co/image/ab67616d000048515c0d633d5f109108c82163e3,2010,345627,1,1,4,0.0908,0.738,0.694,0.00158,0.12,-7.385,0.0275,0.805,110.65
5oWMY5g9BErFiZjpsPjRCP,spotify:track:5oWMY5g9BErFiZjpsPjRCP,https://p.scdn.co/mp3-preview/8646730400a903ce3db8a6e4f708d7e9d3490222?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Color My Love,hi-nrg | italo disco,Fun Fun,44NpcgfV0tBVBVNzmtUBhZ,Color My Love,0chLkxta1tCRN2lF0vIYqH,https://i.scdn.co/image/ab67616d00004851df36f6c955d08751eb394852,1984,246107,5,1,4,0.0167,0.685,0.655,0.359,0.07,-11.046,0.0499,0.814,122.004
539L22kL6Zdd0XIn2dvgzh,spotify:track:539L22kL6Zdd0XIn2dvgzh,https://p.scdn.co/mp3-preview/66c29a1da9a56d42208b175e5b6885f56e65be98?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,For Your Love,italo disco | new italo disco,Albert One,5b0o4XqUBsGxcJyHLUZEHB,Disco Fox,3DNRJmdCcb3ed2k95yXAiB,https://i.scdn.co/image/ab67616d0000485165b047714742ac0be852ec63,2010,236827,8,1,4,0.0125,0.639,0.959,0.112,0.0759,-5.458,0.0484,0.892,114.638
3L1bBpBTa1SmGivOhR6DID,spotify:track:3L1bBpBTa1SmGivOhR6DID,https://p.scdn.co/mp3-preview/819f9724e64d62344b3ed6915b3330a2729d22c8?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,"Hypnotic Tango - Original 12"" Version",italo disco,My Mine,6RJSLoaPbwMo58MnK83v8o,Hypnotic Tango,7DpHPysI2JkdhVNKFfgU2C,https://i.scdn.co/image/ab67616d000048512ae29725363007d3a776ea2b,1983,369084,0,0,4,0.0605,0.737,0.586,0.515,0.0632,-10.219,0.042,0.894,119.364
2ZbmiBfA3nbpJoSlzBKbHk,spotify:track:2ZbmiBfA3nbpJoSlzBKbHk,https://p.scdn.co/mp3-preview/5eb8b9908ee13dc05d2b5361b9b77a9366342f1d?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Around My Dream,italo disco,Silver Pozzoli,6CY5pbdf5XDjkJf8lAaljU,Disco and Dance Hits Made in Italy,1V5lnaIyNH5cnWCJ31P1zX,https://i.scdn.co/image/ab67616d000048515a77d7ff59b83bcc4c63ba89,2012,215360,5,0,4,0.0389,0.694,0.872,0.0302,0.362,-7.217,0.0415,0.89,110.468
4x4Ip4xOCRGIBNsts7GUBD,spotify:track:4x4Ip4xOCRGIBNsts7GUBD,https://p.scdn.co/mp3-preview/c693cf0db5c6837f32ce6eeae0517ed7bdf517ef?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Bambina (Original 12-Inch Version),italo disco,David Lyme,7dkuwtOl8Y2O2fcWy1vtV1,Bambina c/o Bye Bye Mi Amor,1fA8zx1Var0vhNP2uqMfcb,https://i.scdn.co/image/ab67616d000048514d288e4302ab2bd37b0aedd6,1995,331200,10,1,4,0.0859,0.8,0.365,0.638,0.0428,-13.592,0.0372,0.837,123.846
7LvXGoyrWgYNywEC5s8awF,spotify:track:7LvXGoyrWgYNywEC5s8awF,https://p.scdn.co/mp3-preview/4a12f8f36478281968b2f66238d8610b29100676?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Ussr,italo disco | new italo disco,Eddy Huntington,1QWjeNuKSgtgzzid7aVqMf,Bang Bang Baby,6OyPurIurpKjVliHlFIcic,https://i.scdn.co/image/ab67616d0000485180472fd65df42a5f1c7ca1a7,2010,233760,0,0,4,0.196,0.737,0.814,0.0119,0.0348,-7.546,0.0316,0.972,110.457
0d5PVS3zL1TmLU8a21hNOy,spotify:track:0d5PVS3zL1TmLU8a21hNOy,https://p.scdn.co/mp3-preview/e47f6e62258e69d3262779960ba19dfc39556675?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Talking To The Night,italo disco | new italo disco,Brian Ice,3AxAJQnwdTN70vUPUAlDiB,Italo Golden Classics,4WB84VQo9GK2xkbqd922Ym,https://i.scdn.co/image/ab67616d000048515c0d633d5f109108c82163e3,2010,353213,0,0,4,0.0652,0.707,0.88,0.000818,0.0426,-9.297,0.0344,0.918,108.715
7v4dQtPCP7BH8Ls1p0Xtib,spotify:track:7v4dQtPCP7BH8Ls1p0Xtib,https://p.scdn.co/mp3-preview/864e1f7cb596b702a8bbe94fbccc3f21d6498228?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Lady Fantasy,italo disco | new italo disco,Max Him,5ktHCTJg3TamVJznxv93jn,Lady Fantasy,3oeRHnTan6u2nqrzsnUBTq,https://i.scdn.co/image/ab67616d0000485168cf6d220409896b9b836b83,2015,400498,2,0,4,0.000206,0.633,0.741,0.0225,0.107,-7.543,0.0331,0.434,124.247
