id,uri,preview,title,genres,artists,artistsIds,albumTitle,albumId,image,albumReleaseYear,duration,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0VjTK19qMcP87U2Nc5tA5O,spotify:track:0VjTK19qMcP87U2Nc5tA5O,https://p.scdn.co/mp3-preview/0659724785bd2dd63643c763a12145ece79e06fe?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Gioventù Bruciata,italian adult pop | italian pop,Mahmood,06nvjg4wBANK6DCHjqtPNd,Gioventù Bruciata,66vkclmRoFqj4IYEnKGKPU,https://i.scdn.co/image/ab67616d00004851c60b6ec17dcd820b3b6cd380,2019,197760,1,1,4,0.702,0.714,0.556,0,0.0978,-8.181,0.29,0.37,105.037
6yRqZK6gIT3zVu3y5JPcaF,spotify:track:6yRqZK6gIT3zVu3y5JPcaF,https://p.scdn.co/mp3-preview/7c90a4040c3bb9ba62d11f1d8b0da935ac91a9ec?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,ESAGERATA,italian adult pop | italian pop,Tananai,35V1WomiedCJeGfupcPm7s,ESAGERATA,3sAxiUg5VY5dFPkofKoObo,https://i.scdn.co/image/ab67616d00004851e5477c2ab5c931d07a7ab833,2021,198783,0,1,4,0.0233,0.753,0.65,0.0000957,0.104,-5.337,0.0545,0.407,115.013
0Wq6iAraiUpSbBSPmv4gLu,spotify:track:0Wq6iAraiUpSbBSPmv4gLu,https://p.scdn.co/mp3-preview/95da8f90d115dee85ee6113a8afef3aba7ace0b8?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Il ballo delle incertezze,italian adult pop | italian pop,Ultimo,3hN3iJMbbBmqBSAMx5veDa,Peter Pan,7E0zdJM8KYDRa5lQeAfEYi,https://i.scdn.co/image/ab67616d0000485153baaed66e2c4c4c45e8397a,2018,203750,3,1,4,0.445,0.654,0.76,0,0.0548,-5.058,0.185,0.413,144.098
7bcHU50mENL3al5DhEJc7J,spotify:track:7bcHU50mENL3al5DhEJc7J,https://p.scdn.co/mp3-preview/7f8e6c27b6de891b934ad989b2ad8eea757d7dab?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Terra promessa,italian adult pop | mexican pop,Eros Ramazzotti,61J0BktHv7PuP3tjTPYXSX,Eros 30 (Deluxe Version),6vCxp7Tyue7CRCd0FOaCrz,https://i.scdn.co/image/ab67616d00004851dbb3075bb098af7974b845dd,2014,223520,11,1,4,0.107,0.669,0.665,0.0000612,0.0704,-6.133,0.0245,0.887,98.865
1X663aLAmIr9p42beYWl2s,spotify:track:1X663aLAmIr9p42beYWl2s,https://p.scdn.co/mp3-preview/80cadfcf26dc8a0c50b08b50e7a3bc0da7dc460e?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Sincerità,italian adult pop,Arisa,25x6MD0spNNS7z93Sat30K,Sincerità,5GwnfvWFmzOsUqhzOri5ty,https://i.scdn.co/image/ab67616d00004851d08591d4001807255066b1fc,2009,198016,2,1,4,0.568,0.795,0.467,0,0.0938,-6.899,0.0352,0.634,114.97
7xVOIwJr7bYqxipSpZSTY4,spotify:track:7xVOIwJr7bYqxipSpZSTY4,https://p.scdn.co/mp3-preview/fd3c54129c979b51a11169fca92350dcb1ebe981?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Nu juorno buono,italian adult pop | italian hip hop | italian pop | pop virale italiano | rap napoletano,Rocco Hunt,0L1f9i3L3fkMNENljDOsjG,'A verità,6IfSSOZAmilP5EGNfmr3nf,https://i.scdn.co/image/ab67616d00004851b6f35d626b8c0ee9055556e3,2014,194133,9,0,4,0.426,0.654,0.718,0,0.382,-5.571,0.335,0.905,85.988
3yoADEzMFGJkP1n95TTMRR,spotify:track:3yoADEzMFGJkP1n95TTMRR,https://p.scdn.co/mp3-preview/50c26f2e186d3923c00d59b49f73834a0c2cfc03?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,E poi,classic italian pop | italian adult pop,Giorgia,0gm1lHoOXAdy5OB4AwFYRr,Greatest Hits (Le Cose Non Vanno Mai come Credi),3PibNS6DdY2iM5xRorGPqm,https://i.scdn.co/image/ab67616d000048515d0e4bd00856dadab63bac2a,2002,267027,8,0,4,0.0966,0.488,0.469,0.00000582,0.106,-8.088,0.0365,0.0798,113.954
5NROxtMSD0uumQXIwdTJa8,spotify:track:5NROxtMSD0uumQXIwdTJa8,https://p.scdn.co/mp3-preview/97ab04c7d5ec24f24207d754d0273e77348f337a?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Odio le favole,italian adult pop,Ermal Meta,4XWTdNlsP8jqo5BDn5hgmd,Vietato morire,7tPKUDspDKomiAvIrTRJQB,https://i.scdn.co/image/ab67616d00004851eb5590b17bc668f61f20dd21,2017,204480,0,1,4,0.00265,0.571,0.847,0,0.409,-4.191,0.0385,0.825,104.999
5bxQHscWvyaQbm37igKP4K,spotify:track:5bxQHscWvyaQbm37igKP4K,https://p.scdn.co/mp3-preview/fccfbcdf7ee1671f5465be5ec193eb691900c0c8?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,La solitudine,europop | italian adult pop | latin arena pop | mexican pop,Laura Pausini,2e4nwiX8ZCU09LGLOpeqTH,Laura Pausini,2lWrXcNp4XAKostNAtRDW2,https://i.scdn.co/image/ab67616d00004851be679b5ff450cd6f778d7217,1993,240560,1,1,4,0.738,0.574,0.467,0,0.149,-6.374,0.0381,0.256,131.89
3IbgziH7YrA84GNT5CHA1F,spotify:track:3IbgziH7YrA84GNT5CHA1F,https://p.scdn.co/mp3-preview/e3e7227998b8f1bec485fe3d40591d0f1891092f?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Pensa - Sanremo 2007,italian adult pop,Fabrizio Moro,3ebOqZZsLCDAkLS6QdI8cc,Pensa,30RlUulmyieQXl47LGfTr6,https://i.scdn.co/image/ab67616d0000485199f31a4272a7a3f0e7b12bcc,2016,226064,0,1,4,0.117,0.681,0.787,0,0.0665,-5.534,0.0335,0.633,91.991
