id,uri,preview,title,genres,artists,artistsIds,albumTitle,albumId,image,albumReleaseYear,duration,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
5htUUUBlgHZ9fztWTTDEFm,spotify:track:5htUUUBlgHZ9fztWTTDEFm,https://p.scdn.co/mp3-preview/b3a7c440217ce345a23cd778c16a7ca782e2e1aa?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Due Vite,italian adult pop | italian pop,Marco Mengoni,3xGlLcG9CUrs5MvFkSLOS5,Due Vite,5rLrnpQAVeBYEw6tH6PUKj,https://i.scdn.co/image/ab67616d00004851af52389b02efac2ab6b994be,2023,225653,2,1,4,0.4,0.635,0.541,0,0.0879,-6.157,0.0314,0.133,116.938
1ZMGp9MTXbtAPvcKa0U3zS,spotify:track:1ZMGp9MTXbtAPvcKa0U3zS,https://p.scdn.co/mp3-preview/5a5a7bf599969472be806f2e0ee87968d1f27fba?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Brividi,italian adult pop | italian pop | italian hip hop,Mahmood / BLANCO,"06nvjg4wBANK6DCHjqtPNd,1MRiIeZbc0cRuxOafDUCtH",Brividi,06ZMpecsvvoHGWJHlc2St7,https://i.scdn.co/image/ab67616d0000485140c172c54696d8e6028c019f,2022,199146,7,1,4,0.448,0.523,0.614,0,0.254,-4.435,0.0347,0.342,122.962
1lWWoec2z1j88GRblI5anV,spotify:track:1lWWoec2z1j88GRblI5anV,https://p.scdn.co/mp3-preview/66a3aeee020695c603ee3dffcf05bfb829dad788?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,ZITTI E BUONI,indie rock italiano | italian pop,Måneskin,0lAWpj5szCSwM4rUMHYmrr,ZITTI E BUONI,3DBUrkaKptFY2JSKpfukiy,https://i.scdn.co/image/ab67616d000048517a3ab8bd64a0952e452ec799,2021,192655,4,0,4,0.0014,0.62,0.944,0,0.733,-3.082,0.0863,0.592,103.024
5fQdJRMCHmIlYRC7s3y5GR,spotify:track:5fQdJRMCHmIlYRC7s3y5GR,https://p.scdn.co/mp3-preview/1b112d4b86cfe433f9d3c800038d06365bb7c93e?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Fai rumore,italian adult pop | italian pop,Diodato,2QWrpLRDeBD1NwWAsytBRi,Che vita meravigliosa,0ShTOXzyK7Iih4jKOZz5aQ,https://i.scdn.co/image/ab67616d00004851686403904eebd6847730afc7,2020,216140,6,1,4,0.218,0.417,0.625,0,0.0805,-6.055,0.0366,0.144,143.358
4szQkW1CDHqbRZGltXJdd3,spotify:track:4szQkW1CDHqbRZGltXJdd3,https://p.scdn.co/mp3-preview/af2dd87a2f63aaf30419752b7c7d2dad00098253?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Soldi,italian adult pop | italian pop,Mahmood,06nvjg4wBANK6DCHjqtPNd,Gioventù Bruciata,66vkclmRoFqj4IYEnKGKPU,https://i.scdn.co/image/ab67616d00004851c60b6ec17dcd820b3b6cd380,2019,195133,3,0,4,0.0361,0.729,0.589,0,0.305,-9.871,0.0483,0.349,95.065
6d3sJyECf0XccpnosXyxT7,spotify:track:6d3sJyECf0XccpnosXyxT7,https://p.scdn.co/mp3-preview/cc1776d69dc3590863318ac777f119a296ac130a?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Non mi avete fatto niente,italian adult pop,Ermal Meta / Fabrizio Moro,"4XWTdNlsP8jqo5BDn5hgmd,3ebOqZZsLCDAkLS6QdI8cc",Non abbiamo armi,2CIPXYpur0nLGRCjaCcSNx,https://i.scdn.co/image/ab67616d00004851ed27aa9e586a670d516ea6f7,2018,208080,6,1,4,0.309,0.568,0.89,0,0.207,-4.612,0.0554,0.644,90.025
1SUKJk2NLnZ8mNlDPT8EqM,spotify:track:1SUKJk2NLnZ8mNlDPT8EqM,https://p.scdn.co/mp3-preview/e355fa56c6f68a00f9712f81d45e0346e5958bc6?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Occidentali's Karma (Radio Edit),italian adult pop | italian pop,Francesco Gabbani,5lzqFxifzjxYHGJxuwQqtR,Magellano,1BiYyC7NMZxUN1t7dgKGMe,https://i.scdn.co/image/ab67616d00004851062c1f5367d653855898d79b,2017,217613,10,1,4,0.0428,0.668,0.834,0.00000326,0.104,-3.996,0.0757,0.565,114.069
4FIZpPI4oCuAfK6emmC77c,spotify:track:4FIZpPI4oCuAfK6emmC77c,https://p.scdn.co/mp3-preview/c1430884b7b2bc75416df02a355fe5bff1321d11?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Un Giorno Mi Dirai,classic italian pop | italian adult pop,Stadio,4zf0kIjnzqjWlI3Eaw5VlA,Miss Nostalgia,6W5jqg5IfSVX0KeT6nG0TH,https://i.scdn.co/image/ab67616d00004851117a0cf05cd029f11d2a60e2,2016,244747,9,1,4,0.0402,0.411,0.753,0,0.116,-4.615,0.0287,0.263,174.041
4hWQaCHO3k3bTYi8AozKTE,spotify:track:4hWQaCHO3k3bTYi8AozKTE,https://p.scdn.co/mp3-preview/7302323515ab234b559295058ca032b3ce934e97?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Grande amore,italian progressive rock | operatic pop,Il Volo,0dE9ooTNz8iEKIKItRI66t,Sanremo grande amore,3Ugt1E8Ft5I0Ry1cLUdMIi,https://i.scdn.co/image/ab67616d00004851e6ec2a341b6d0bfc9ee5ad28,2015,224947,1,1,4,0.0586,0.466,0.617,0.000092,0.147,-5.853,0.029,0.177,142.121
00JbznfNVCiSSqLXI7wd5B,spotify:track:00JbznfNVCiSSqLXI7wd5B,https://p.scdn.co/mp3-preview/e49042c493b6f00eadbf9312023a281558147fa2?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Controvento,italian adult pop,Arisa,25x6MD0spNNS7z93Sat30K,Se vedo te,0OK4Ou6xS2mMJvrnWgbCEJ,https://i.scdn.co/image/ab67616d00004851dfcbab3e0ab01a37399e2e92,2014,219200,1,1,4,0.508,0.703,0.555,0,0.134,-6.173,0.0284,0.327,95.01
