id,uri,preview,title,genres,artists,artistsIds,albumTitle,albumId,image,albumReleaseYear,duration,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
2O7jON0xYyTaSkWj9wZXCJ,spotify:track:2O7jON0xYyTaSkWj9wZXCJ,https://p.scdn.co/mp3-preview/8976f7d1217ca54bd5a85ce043116c4d1fd2c584?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Sinceramente,italian adult pop | italian pop,Annalisa,0EqkKYDK9EkKY5N7zU3FPv,Sinceramente,6Ftqr86cfGFu8mQ0Vt2jse,https://i.scdn.co/image/ab67616d0000485151ee37411182665987658c03,2024,215714,3,0,4,0.036,0.73,0.803,0,0.14,-3.056,0.04,0.406,126.049
3j1453KrdHjw7y4gnBj7nF,spotify:track:3j1453KrdHjw7y4gnBj7nF,https://p.scdn.co/mp3-preview/362df31c3d81cec46f7b278f51c6dc837e89da3c?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,"I P’ ME, TU P’ TE",italian hip hop | italian pop | rap napoletano | trap italiana,Geolier,27LlKWxS3KXW7RRAxN5S8s,"I P’ ME, TU P’ TE",09DwcnxasBOzPGqVXJPF13,https://i.scdn.co/image/ab67616d000048516160e0b4c4bb1bd00add6c60,2024,187881,9,0,4,0.115,0.639,0.767,0,0.0689,-5.988,0.215,0.469,118.055
49R1F3rIdSzuPk7AcHi6d1,spotify:track:49R1F3rIdSzuPk7AcHi6d1,https://p.scdn.co/mp3-preview/30d0318fb9390a0760632d45df42bdb9505c7a04?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,La noia,italian pop,Angelina Mango,1A6HBLulvBFzNtlMb7b08f,La noia,3thPAnMavUmX8gGyjOzYFI,https://i.scdn.co/image/ab67616d000048514048a22d11b5873fe7c56dc4,2024,189125,2,0,4,0.131,0.68,0.871,0.0000485,0.056,-3.349,0.0851,0.677,112.094
37WCMrX9XnmmPCMY0aqZjo,spotify:track:37WCMrX9XnmmPCMY0aqZjo,https://p.scdn.co/mp3-preview/0fc121eeb81a03d48b8e637e4e30997150e89e3c?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Fino a qui,italian adult pop | italian pop,Alessandra Amoroso,2pjb5ffSoVTr5lRYQXlnPu,Fino a qui,0d5uLpu4Tkh54AjZgztd7L,https://i.scdn.co/image/ab67616d000048512b928b0cd38a8e48db4ef39d,2024,232310,8,1,4,0.249,0.605,0.546,0,0.0899,-5.52,0.0369,0.224,130.065
654Jxp6rUFgPckixlIusRJ,spotify:track:654Jxp6rUFgPckixlIusRJ,https://p.scdn.co/mp3-preview/78323c021e097ad7996219e0fa65baf1bc20c350?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,TUTA GOLD,italian adult pop | italian pop,Mahmood,06nvjg4wBANK6DCHjqtPNd,TUTA GOLD,298TPucavaqMuiInBsW7jX,https://i.scdn.co/image/ab67616d0000485122aa3408a990edf3bdabd676,2024,178468,9,0,4,0.624,0.746,0.742,0.000848,0.151,-6.837,0.0473,0.77,123.052
60NDVF7fFIq13aO9rIN80c,spotify:track:60NDVF7fFIq13aO9rIN80c,https://p.scdn.co/mp3-preview/71a20bed088066ad199fbb01bb5dea3e39af76e7?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,UN RAGAZZO UNA RAGAZZA,italian adult pop | italian pop,The Kolors,72A0Z8q8NiochyK9gUHpCR,UN RAGAZZO UNA RAGAZZA,3tNnKTFodG4lOLiGM39yvV,https://i.scdn.co/image/ab67616d000048510f678541a1b613a82476db58,2024,217031,3,0,4,0.0451,0.753,0.859,0,0.119,-3.071,0.0796,0.921,128
5mQTzYTDDob48mOP3U9k7Q,spotify:track:5mQTzYTDDob48mOP3U9k7Q,https://p.scdn.co/mp3-preview/fdc11100905a2af190c9666cbb59c278873d2055?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Tu No,italian adult pop | italian pop,Irama,5iot8OPcosJN9nCl7I5SdK,Tu No,73tk3YTX5XnmuZtUwcIPED,https://i.scdn.co/image/ab67616d00004851b746477be227e64ad02c894b,2024,215609,3,1,4,0.326,0.583,0.628,0,0.199,-5.143,0.0346,0.355,122.002
6m4z69VDQ7zB2JQzTeWNom,spotify:track:6m4z69VDQ7zB2JQzTeWNom,https://p.scdn.co/mp3-preview/82c89403627e752c99f8a38b380565911e64cde2?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,DUE ALTALENE,italian adult pop | italian pop,Mr.Rain,59MLbXG0jLVwJup3KAd6m1,DUE ALTALENE,7EylvV3blFKLH2ZQDW6CWl,https://i.scdn.co/image/ab67616d000048514428a259fc2fcc5e105deafa,2024,197143,10,1,4,0.467,0.38,0.564,0.0000425,0.542,-7.373,0.0606,0.399,139.79
3qyidNdb5QNHLxAFJzTn6P,spotify:track:3qyidNdb5QNHLxAFJzTn6P,https://p.scdn.co/mp3-preview/c0629ed92976d1716fe54faf651c59fb85f737ed?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,APNEA,italian adult pop | italian pop,Emma,0gzwXezN4IUHAwLufA6YcX,APNEA,0YMrslSUc1TClPK7b1SVBa,https://i.scdn.co/image/ab67616d000048517eb85ed33423cb3f26a21d2c,2024,180923,0,0,4,0.0704,0.666,0.864,0,0.13,-4.394,0.345,0.558,130.104
1MwyUklCSLF8heoph2ttFe,spotify:track:1MwyUklCSLF8heoph2ttFe,https://p.scdn.co/mp3-preview/8b5aff5b65464070686f2cb54af442817f38faaf?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Pazza,classic italian pop | italian adult pop | italian pop,Loredana Bertè,2XpUprTohaksHpVjUtTvlx,Pazza,3IGUYanHxdk5DX7aB8e3lv,https://i.scdn.co/image/ab67616d00004851fe50e39d6ae0cceb7f4a4cea,2024,168167,0,1,4,0.00344,0.703,0.894,0,0.335,-3.846,0.0816,0.665,119.999
