id,uri,preview,title,genres,artists,artistsIds,albumTitle,albumId,image,albumReleaseYear,duration,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
79cRtxW6PQWvSbKpvdPGkQ,spotify:track:79cRtxW6PQWvSbKpvdPGkQ,https://p.scdn.co/mp3-preview/e88d4c41126d930a4c5d5385e12b47f52fdfb9f8?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Tutti I Miei Sbagli,italian adult pop | italian alternative,Subsonica,7DzxfMQ3VNYR5vw2UFjzSK,Microchip Emozionale,1R6tWYMVH2NOVsejTwAHxg,https://i.scdn.co/image/ab67616d000048518f3e90821ef07b193ba8d409,2000,243320,11,1,4,0.000356,0.537,0.838,0.0000592,0.0718,-5.924,0.0343,0.353,128.012
3vSvzXZVJ92x9fHPQAqgVo,spotify:track:3vSvzXZVJ92x9fHPQAqgVo,https://p.scdn.co/mp3-preview/b04767ed788aad7a98052d761316f9a4f2bc8ffd?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Vado al massimo,classic italian pop | italian adult pop,Vasco Rossi,5l4nhyz8876RhgE2d18h65,Vado al massimo (Remastered),6E94kQ6nvwprEL5XtidoxM,https://i.scdn.co/image/ab67616d0000485197be768fcaa3262d0c96fd09,1982,243867,11,1,4,0.00739,0.674,0.726,0.00000431,0.209,-6.444,0.0598,0.822,137.263
06vLUEqkJ4AIG3bKKtSi0M,spotify:track:06vLUEqkJ4AIG3bKKtSi0M,https://p.scdn.co/mp3-preview/f1bd1bc68572b6eb0bbac0c836f7f43ae6625cdd?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Grazie dei fiori,classic italian pop,Nilla Pizzi,0Aa0gR6RQfMmo529QX1Gbh,Grazie Dei Fiori,6gO2RnWmTJpFsWVvOT8Q8s,https://i.scdn.co/image/ab67616d000048515709bf0398c7c4520a4b4b6e,2019,168163,3,1,3,0.993,0.405,0.144,0.569,0.184,-14.627,0.0523,0.344,131.083
3yGyWqmw9eCQPdJJ6iJLWs,spotify:track:3yGyWqmw9eCQPdJJ6iJLWs,https://p.scdn.co/mp3-preview/1f915cc824107939223d07790bca6299ef507fab?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,4/3/1943,canzone d'autore | classic italian pop | italian adult pop,Lucio Dalla,25MkkfEousyfp2eyh38FUl,Storie Di Casa Mia,4RhhEVTkZHjElP8TPfbzcB,https://i.scdn.co/image/ab67616d00004851a966df0ebb1b344dbf5730d4,1970,222160,0,1,4,0.891,0.596,0.305,0.00000194,0.192,-13.27,0.046,0.782,134.381
1y1q6D6BnSPntMeTmq15rh,spotify:track:1y1q6D6BnSPntMeTmq15rh,https://p.scdn.co/mp3-preview/e7b99340ebbccf0cb43e3c0bc81700143688d3ce?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Nel blu dipinto di blu,classic italian pop | italian adult pop,Domenico Modugno,4llklDtTTyMYMY2LfFOkTI,Collection: Domenico Modugno,34u4wOfIl7rteIkZxJEu20,https://i.scdn.co/image/ab67616d000048513e4c9c16282e6595328cc37e,2013,216373,10,1,4,0.987,0.518,0.06,0.00000787,0.161,-14.887,0.0441,0.336,127.87
4g7ASoGYRujjvNL6DHX9j8,spotify:track:4g7ASoGYRujjvNL6DHX9j8,https://p.scdn.co/mp3-preview/3fa891cf55b43cf0c6660050c34a6de6fd6c3584?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,24.000 Baci,classic italian pop | italian adult pop,Adriano Celentano,1yq9UuPp5DIb5w6eswGbKV,Unicamentecelentano,79AgOIHvwl0yvdO5IBkl9P,https://i.scdn.co/image/ab67616d00004851cca8e4f480faca1e75815237,2006,137853,9,0,4,0.414,0.538,0.606,0,0.196,-5.099,0.0342,0.792,78.349
36a5OKXfHhIIjAgNb5FOJr,spotify:track:36a5OKXfHhIIjAgNb5FOJr,https://p.scdn.co/mp3-preview/d784c38cb2ec026dda83f8d45ffa8fc5d5776db8?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Un'emozione da poco,classic italian pop | italian adult pop,Anna Oxa,6iuybPv0Mii8x21mztjaUN,Un'ora con...,1105MDNxNRjgBN219GOgch,https://i.scdn.co/image/ab67616d000048512581fd166d601796d6e0ff61,2012,251213,2,1,4,0.347,0.551,0.623,0.00000206,0.0779,-6.993,0.0384,0.641,114.676
5QKRTdqD7dgOIWMYXUmD6J,spotify:track:5QKRTdqD7dgOIWMYXUmD6J,https://p.scdn.co/mp3-preview/050895dc68327a058353e258884e34a32cff5dc5?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Perdere l'amore,canzone napoletana | classic italian pop | italian adult pop,Massimo Ranieri,1VZvpyWFZWk1GitulKUo3d,Perdere l'amore,6uoSK1y8SCXazNiUTu3rWX,https://i.scdn.co/image/ab67616d000048513d1a1509d8ee3665a3b329ba,1988,251533,4,1,4,0.474,0.394,0.533,0.00000142,0.19,-9.648,0.0393,0.422,134.955
0Oheso9xvbCsZc6rzZjaWe,spotify:track:0Oheso9xvbCsZc6rzZjaWe,https://p.scdn.co/mp3-preview/ffa6fb2acc09162a945213e276dc949df122acf3?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Salirò,classic italian pop | italian adult pop | italian alternative | italian pop,Daniele Silvestri,6q8f3fxaWqkXzkbxtKOzYF,Monetine,3mfahOk88mQBdYnbLfT7GZ,https://i.scdn.co/image/ab67616d00004851f3a7c1debcf215e235bd3745,2008,237440,7,1,4,0.189,0.832,0.924,0,0.0867,-5.047,0.0914,0.772,126.012
5bxQHscWvyaQbm37igKP4K,spotify:track:5bxQHscWvyaQbm37igKP4K,https://p.scdn.co/mp3-preview/fccfbcdf7ee1671f5465be5ec193eb691900c0c8?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,La solitudine,europop | italian adult pop | latin arena pop | mexican pop,Laura Pausini,2e4nwiX8ZCU09LGLOpeqTH,Laura Pausini,2lWrXcNp4XAKostNAtRDW2,https://i.scdn.co/image/ab67616d00004851be679b5ff450cd6f778d7217,1993,240560,1,1,4,0.738,0.574,0.467,0,0.149,-6.374,0.0381,0.256,131.89
