id,uri,preview,title,genres,artists,artistsIds,albumTitle,albumId,image,albumReleaseYear,duration,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0Dz9zyx2w3zYtRK6yp3VKD,spotify:track:0Dz9zyx2w3zYtRK6yp3VKD,https://p.scdn.co/mp3-preview/5fad6b5f3c568114695be6bf4fa51288c6892d62?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,SESSO OCCASIONALE,italian adult pop | italian pop,Tananai,35V1WomiedCJeGfupcPm7s,SESSO OCCASIONALE,51lcCxrqnkTxRLbmbL7KX6,https://i.scdn.co/image/ab67616d00004851dcb40d24910a8513988aa183,2022,195923,0,1,4,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,0.659,130.007
35BICD5dEJLVicj9cV0jhe,spotify:track:35BICD5dEJLVicj9cV0jhe,https://p.scdn.co/mp3-preview/d324954b1b4bab936c6a096295c585b901caa7d9?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,MADE IN ITALY,italian hip hop | italian pop,Rosa Chemical / Bdope,"5gYADZXuZoaJwrwfAPbKuH,3SGb7Dlm2pmV7qIQHUzRtB",MADE IN ITALY,0miArJPcQRJwlfZ6OGs2WJ,https://i.scdn.co/image/ab67616d00004851e30c970e8abb7c9906ab7c0c,2023,178080,11,0,4,0.0642,0.709,0.897,0,0.26,-4.561,0.106,0.839,124.913
6RrHjDbTT8ibYqSBsZbmRA,spotify:track:6RrHjDbTT8ibYqSBsZbmRA,https://p.scdn.co/mp3-preview/c95bfec55a5d586dd1733a7dd40c292965c71137?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,"Rolls Royce (feat. Boss Doms, Frenetik&Orang3)",italian adult pop | italian hip hop | italian pop | brostep | edm | italian indie pop,Achille Lauro / Boss Doms / Frenetik&Orang3,"0lI3rF4hi4op6UxqlLHPzv,57aMHpsX2SXTbLatmeEd6j,2lkP8239tkwRjg5N7d2D0w",1969 - Achille Idol Rebirth,0zMH1I8EZPPGYAzxZ9H0gU,https://i.scdn.co/image/ab67616d00004851d7d1c841048a5776dd5405c4,2020,173345,9,1,4,0.00582,0.643,0.922,0,0.643,-3.907,0.0641,0.308,141.913
6134tdWf6qjAGgQs1xJRyA,spotify:track:6134tdWf6qjAGgQs1xJRyA,https://p.scdn.co/mp3-preview/2f0eb6f5e4976c65c50c027ce5c08d51868226c9?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Una Vita In Vacanza,italian adult pop | italian alternative | italian indie pop | italian pop,Lo Stato Sociale,1MBjY2JFotAGoTYDfO80cM,Primati,5zbqOeGsHkqezYWdjl4VpQ,https://i.scdn.co/image/ab67616d00004851b94f544584a7371e03341a3a,2018,233947,10,1,4,0.135,0.641,0.923,0,0.097,-4.138,0.103,0.663,135.016
6i5wWtpeDVUBBMDpnYiWr5,spotify:track:6i5wWtpeDVUBBMDpnYiWr5,https://p.scdn.co/mp3-preview/d6aab8aa666531246c8da9a221dc99798f5c5ec8?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,ORA,italian pop,AIELLO,5bxbPQo0VkFgZKemF0YKb4,MERIDIONALE,4lLsYPaIKGLiBodfEk2Wmd,https://i.scdn.co/image/ab67616d000048519f0f65a0bcd6d31b6298f74b,2021,180895,1,0,4,0.444,0.661,0.527,0,0.163,-5.777,0.104,0.188,116.456
5pFKuNJdKLyMceZuopqVFF,spotify:track:5pFKuNJdKLyMceZuopqVFF,https://p.scdn.co/mp3-preview/a20ce8b1864eda7da9a294bf9e1f8127c3304052?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,L'Isola Delle Rose,italian hip hop | italian pop,BLANCO,1MRiIeZbc0cRuxOafDUCtH,L'Isola Delle Rose,0dedUKXYTEmxuhkF5yZPj3,https://i.scdn.co/image/ab67616d00004851c77de98c2bb79b1291c32792,2023,187398,6,0,4,0.00304,0.254,0.796,0,0.112,-2.975,0.06,0.352,86.483
6v2eWAtpP4WDrxRDAG9FwL,spotify:track:6v2eWAtpP4WDrxRDAG9FwL,https://p.scdn.co/mp3-preview/62166061ef11742908093ac95b1d7d5de2545e2c?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Sincero (feat. Morgan),italian alternative | italian indie pop,Bugo / Morgan,"01U4yWwtUKMckbI55OiT7g,6RUY9TXdPIoeOExtd9twr0",Sincero (feat. Morgan),1N1j43lLEbPtcH2agEYos7,https://i.scdn.co/image/ab67616d00004851a7586027a25a4b23e644d8a1,2020,223427,10,1,4,0.00427,0.642,0.843,0,0.186,-5.131,0.0327,0.538,118.037
43xFiEIXdNCbvLrHnDlKSc,spotify:track:43xFiEIXdNCbvLrHnDlKSc,https://p.scdn.co/mp3-preview/65b5782d1de37eeb6236e6d7479b88a5d7e80188?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Alla Mia Età,italian adult pop | italian pop,Tiziano Ferro,11TplWqOPQBTmg2eiSLt1m,Alla Mia Età,3N4MScsa0qCfg0ffZVl7wj,https://i.scdn.co/image/ab67616d0000485142eb7ed4d285b6900980dd6f,2008,213067,1,1,4,0.46,0.534,0.679,0,0.146,-3.936,0.0366,0.346,141.861
3Ls9yKzshQye18Tx2AvOb6,spotify:track:3Ls9yKzshQye18Tx2AvOb6,https://p.scdn.co/mp3-preview/0eccb4a125d56d2926b4ed6d8a94ea8be6958cf4?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,90MIN,italian hip hop | italian pop | italian underground hip hop | rap sardegna,Salmo,3hBQ4zniNdQf1cqqo6hzuW,Playlist,5F6r4JU7TdqI8YOWzj6Fyn,https://i.scdn.co/image/ab67616d0000485182a568fd0ee2837ac243f05e,2018,231920,1,1,4,0.0253,0.549,0.765,0,0.855,-5.138,0.309,0.513,122.002
5QcKmCvGDbMvbJQZh75YVd,spotify:track:5QcKmCvGDbMvbJQZh75YVd,https://p.scdn.co/mp3-preview/5820a93eb2ad4663ed0e4cfd376b42cfdb8e4298?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Duecentomila ore,spanish pop,Ana Mena,6k8mwkKJKKjBILo7ypBspl,Duecentomila ore,7DZEFakK4SfIg3IbnVNta5,https://i.scdn.co/image/ab67616d00004851b83b551f9610143b86a276cd,2022,180238,9,0,4,0.0202,0.736,0.678,0,0.155,-4.889,0.0475,0.518,125.982
