id,uri,preview,title,genres,artists,artistsIds,albumTitle,albumId,image,albumReleaseYear,duration,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
2QVIMIcEt0t72cqbafrvxI,spotify:track:2QVIMIcEt0t72cqbafrvxI,https://p.scdn.co/mp3-preview/87b0d803649c545f99ef3fcf6a54e179b8c99cec?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,La notte,italian adult pop,Arisa,25x6MD0spNNS7z93Sat30K,Amami,7pH86nj2gFvJjw0u86zXOQ,https://i.scdn.co/image/ab67616d00004851ac9f397737288daef7b147df,2012,235122,0,1,4,0.624,0.618,0.307,0.00000183,0.128,-9.38,0.034,0.124,130.074
1mJQoOICr4UlV6nG3EI4NN,spotify:track:1mJQoOICr4UlV6nG3EI4NN,https://p.scdn.co/mp3-preview/b0be6268adee973c74d0916c3ede7d69909dd374?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Come saprei,classic italian pop | italian adult pop,Giorgia,0gm1lHoOXAdy5OB4AwFYRr,Come Thelma E Louise,3TkPJ0VZJnHBQ5jWk8Y0lj,https://i.scdn.co/image/ab67616d000048511971547632724010854b1d03,1995,300307,4,1,4,0.369,0.44,0.453,0,0.207,-8.644,0.0352,0.135,135.996
3U4yZniE7s9tDA037nUG2r,spotify:track:3U4yZniE7s9tDA037nUG2r,https://p.scdn.co/mp3-preview/61ef991ed48c5f8d60210b4af25346a10ea36a7e?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Maledetta primavera,classic italian pop,Loretta Goggi,0r310cYIlI5aMcuDTChNlO,I Grandi Successi: Loretta Goggi,0kxiJm9eISHVZ9LW8A3uNW,https://i.scdn.co/image/ab67616d0000485195dcaca4f86ec0904426cb32,2008,253160,8,1,3,0.185,0.473,0.603,0.0000924,0.566,-6.242,0.0291,0.352,136.104
0UILeV4tZ5W11JngwEY0gD,spotify:track:0UILeV4tZ5W11JngwEY0gD,https://p.scdn.co/mp3-preview/d80c0cbea8d56c64029e7b73a5e82323577b8963?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Straordinario,italian adult pop | italian pop | italian pop rock,Chiara Galiazzo,5pJV7GdYrjU3zQpxc24kN7,Un giorno di sole - Straordinario,1gEjYulzKgFxDkf0Ii37cx,https://i.scdn.co/image/ab67616d000048515b954ec601a76fdff5f7b97a,2015,190587,1,0,4,0.468,0.532,0.805,0,0.125,-2.379,0.0389,0.425,140.009
57J7lg7C1IZRxvA13J1nhw,spotify:track:57J7lg7C1IZRxvA13J1nhw,https://p.scdn.co/mp3-preview/19fa8386aa56bdb76e09e5ca81ab699d85585237?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Quando nasce un amore,classic italian pop | italian adult pop,Anna Oxa,6iuybPv0Mii8x21mztjaUN,Pensami Per Te,3i6vpMk0xhgOvpkX7cEOXq,https://i.scdn.co/image/ab67616d0000485133dcae59026378c0633feddf,1988,239307,5,1,4,0.755,0.466,0.285,0.0000107,0.144,-13.483,0.0301,0.231,104.941
5bxQHscWvyaQbm37igKP4K,spotify:track:5bxQHscWvyaQbm37igKP4K,https://p.scdn.co/mp3-preview/fccfbcdf7ee1671f5465be5ec193eb691900c0c8?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,La solitudine,europop | italian adult pop | latin arena pop | mexican pop,Laura Pausini,2e4nwiX8ZCU09LGLOpeqTH,Laura Pausini,2lWrXcNp4XAKostNAtRDW2,https://i.scdn.co/image/ab67616d00004851be679b5ff450cd6f778d7217,1993,240560,1,1,4,0.738,0.574,0.467,0,0.149,-6.374,0.0381,0.256,131.89
0vk46qEN6DEzancOurslfM,spotify:track:0vk46qEN6DEzancOurslfM,https://p.scdn.co/mp3-preview/52ed3e8734454276a06815620c09773ffee086c5?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Ma Che Freddo Fa,classic italian pop,Nada,37x1MqNXlCtuLLYSXYX7jA,Nada,484oWTby23satVIgHKMO0e,https://i.scdn.co/image/ab67616d0000485123737713dfbd9fb00a2e2ab3,1969,183627,10,0,4,0.589,0.517,0.581,0.0000691,0.15,-12.323,0.0397,0.824,165.417
7lx7ourd9AVFIBXFTCWXx8,spotify:track:7lx7ourd9AVFIBXFTCWXx8,https://p.scdn.co/mp3-preview/afe7ec16c52adcdd24e3e956e83c27bb9deaaf8f?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Non E' L'Inferno,italian adult pop | italian pop,Emma,0gzwXezN4IUHAwLufA6YcX,Sarò Libera (Sanremo Edition),3IaZc3ERddM2fSGj9IOdOT,https://i.scdn.co/image/ab67616d00004851afe657e8dc08acd1990b218c,2011,225253,6,1,4,0.042,0.569,0.731,0,0.129,-5.853,0.0342,0.322,126.884
3TygxF9PiIiiyL97jSH6JL,spotify:track:3TygxF9PiIiiyL97jSH6JL,https://p.scdn.co/mp3-preview/fe030dc6f30585530d7923465dd17cc072ff7082?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Che sia benedetta,classic italian pop | italian adult pop,Fiorella Mannoia,5VxhGHbcuvqTLRUWzBUN8L,Combattente,4GF3jifcjXJd5obyLEeK80,https://i.scdn.co/image/ab67616d0000485137e3ce04d1ffd6754a147bf7,2017,193440,1,0,4,0.134,0.537,0.775,0,0.119,-4.978,0.112,0.382,151.654
62lJ2gqTN4JQf3pftLw9UG,spotify:track:62lJ2gqTN4JQf3pftLw9UG,https://p.scdn.co/mp3-preview/a99e2741d4b61d8958ea4ef1f9a81091b50383b7?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Come Foglie,classic italian pop | italian adult pop,Malika Ayane,5jcswtptZttxBwWKXbR5k5,Malika Ayane (Deluxe Edition),7ceTb7CCbuwKuPwk8f68ZA,https://i.scdn.co/image/ab67616d00004851542e1fd5e3005ab1b31fdc38,2009,225240,10,1,4,0.298,0.524,0.564,0,0.102,-6.234,0.0274,0.176,87.042
6kM1hV9AHul6j6t3mu7zIV,spotify:track:6kM1hV9AHul6j6t3mu7zIV,https://p.scdn.co/mp3-preview/50c6b6c9bc7db6d23e2fab3be8193d2d938e3149?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Almeno tu nell'universo,classic italian pop | italian adult pop,Mia Martini,05JkDGFMHqlIz0GPjLh2p3,Martini Mia...,4K0sJHHnxLeyoUlfSjMgpB,https://i.scdn.co/image/ab67616d00004851d8abb7310c55d359a6742698,2011,306013,6,1,4,0.768,0.313,0.205,0.00000656,0.0717,-14.441,0.0354,0.0781,128.944
