ID,LABEL,Categoria,Image,Streaming,youtube off
ABBATE FEDERICA - (AO),ABBATE FEDERICA ,Autore del Testo (AO),,,
AMDOUNI GHALI - (AO),AMDOUNI GHALI,Autore del Testo (AO),,,
AMOROSO ALESSANDRA - (AO),AMOROSO ALESSANDRA,Autore del Testo (AO),,,
ANTONACCI PAOLO - (AO),ANTONACCI PAOLO,Autore del Testo (AO),,,
BALARDI MATTIA - (AO),BALARDI MATTIA,Autore del Testo (AO),,,
BERTE' LOREDANA - (AO),BERTE' LOREDANA,Autore del Testo (AO),,,
BONOMO ANDREA - (AO),BONOMO ANDREA,Autore del Testo (AO),,,
BOTTICINI MATTEO - (AO),BOTTICINI MATTEO,Autore del Testo (AO),,,
CAPONI DUCCIO - (AO),CAPONI DUCCIO,Autore del Testo (AO),,,
CHEOPE - (AO),CHEOPE,Autore del Testo (AO),,,
CHIARAVALLI LUCA PAOLO - (AO),CHIARAVALLI LUCA PAOLO,Autore del Testo (AO),,,
CLEMENTE FABIO - (AO),CLEMENTE FABIO,Autore del Testo (AO),,,
CLEMENTE FRANCESCO EMANUELE - (AO),CLEMENTE FRANCESCO EMANUELE,Autore del Testo (AO),,,
D'AMICO JACOPO MATTEO LUCA - (AO),D'AMICO JACOPO MATTEO LUCA,Autore del Testo (AO),,,
DE FILIPPI ANDREA - (AO),DE FILIPPI ANDREA,Autore del Testo (AO),,,
DE SANTIS ALESSANDRO - (AO),DE SANTIS ALESSANDRO,Autore del Testo (AO),,,
DEL BONO CECILIA - (AO),DEL BONO CECILIA,Autore del Testo (AO),,,
DI FRANCESCO CARLO - (AO),DI FRANCESCO CARLO,Autore del Testo (AO),,,
DIODATO ANTONIO - (AO),DIODATO ANTONIO,Autore del Testo (AO),,,
ETTORRE JACOPO ANGELO - (AO),ETTORRE JACOPO ANGELO,Autore del Testo (AO),,,
FANTI FILIPPO MARIA - (AO),FANTI FILIPPO MARIA,Autore del Testo (AO),,,
FAZIO GIANLUIGI - (AO),FAZIO GIANLUIGI,Autore del Testo (AO),,,
FIORDISPINO ANTONIO - (AO),FIORDISPINO ANTONIO,Autore del Testo (AO),,,
FONTE ENRICO - (AO),FONTE ENRICO,Autore del Testo (AO),,,
FRANCESE MARIO LORENZO - (AO),FRANCESE MARIO LORENZO,Autore del Testo (AO),,,
GUGLIELMI ROBERTO WILLIAM - (AO),GUGLIELMI ROBERTO WILLIAM,Autore del Testo (AO),,,
LA CAVA ALESSANDRO - (AO),LA CAVA ALESSANDRO,Autore del Testo (AO),,,
LAZZERINI MARIA LODOVICA - (AO),LAZZERINI MARIA LODOVICA,Autore del Testo (AO),,,
LOCCI ANDREA - (AO),LOCCI ANDREA,Autore del Testo (AO),,,
LOMBARDI DARIO - (AO),LOMBARDI DARIO,Autore del Testo (AO),,,
LUINI ROSA - (AO),LUINI ROSA,Autore del Testo (AO),,,
MADAME - (AO),MADAME,Autore del Testo (AO),,,
MAHMOUD ALESSANDRO - (AO),MAHMOUD ALESSANDRO,Autore del Testo (AO),,,
MAMMONE MARIANNA - (AO),MAMMONE MARIANNA,Autore del Testo (AO),,,
MANCINO DIEGO - (AO),MANCINO DIEGO,Autore del Testo (AO),,,
MANGO ANGELINA - (AO),MANGO ANGELINA,Autore del Testo (AO),,,
MANNOIA FIORELLA - (AO),MANNOIA FIORELLA,Autore del Testo (AO),,,
MARLETTA STEFANO - (AO),MARLETTA STEFANO,Autore del Testo (AO),,,
MARRONE EMMANUELA - (AO),MARRONE EMMANUELA,Autore del Testo (AO),,,
MERLI ALESSANDRO - (AO),MERLI ALESSANDRO ,Autore del Testo (AO),,,
MININNI ALESSIO - (AO),MININNI ALESSIO,Autore del Testo (AO),,,
NUCLEONO - (AO),NUCLEONO,Autore del Testo (AO),,,
PALANA FEDERICO - (AO),PALANA FEDERICO,Autore del Testo (AO),,,
PALUMBO EMANUELE - (AO),PALUMBO EMANUELE,Autore del Testo (AO),,,
PARDINI FLAVIO BRUNO - (AO),PARDINI FLAVIO BRUNO,Autore del Testo (AO),,,
PETRELLA DAVIDE - (AO),PETRELLA DAVIDE,Autore del Testo (AO),,,
POLLEX GIOVANNI - (AO),POLLEX GIOVANNI,Autore del Testo (AO),,,
PUGLIESE ANDREA - (AO),PUGLIESE ANDREA,Autore del Testo (AO),,,
RAPETTI MOGOL ALFREDO - (AO),RAPETTI MOGOL ALFREDO,Autore del Testo (AO),,,
RENGA PIERFRANCESCO - (AO),RENGA PIERFRANCESCO,Autore del Testo (AO),,,
ROBERTS EDWYN CLARK - (AO),ROBERTS EDWYN CLARK,Autore del Testo (AO),,,
SANGIORGI GIULIANO - (AO),SANGIORGI GIULIANO,Autore del Testo (AO),,,
SANGIOVANNI - (AO),SANGIOVANNI,Autore del Testo (AO),,,
SCARRONE ANNALISA - (AO),SCARRONE ANNALISA,Autore del Testo (AO),,,
SENIA GUIDO LUIGI - (AO),SENIA GUIDO LUIGI,Autore del Testo (AO),,,
SERAFINI PIETRO - (AO),SERAFINI PIETRO,Autore del Testo (AO),,,
SIMONETTA DAVIDE - (AO),SIMONETTA DAVIDE,Autore del Testo (AO),,,
SOCCINI CLARA - (AO),SOCCINI CLARA,Autore del Testo (AO),,,
TENISCI MICHAEL - (AO),TENISCI MICHAEL,Autore del Testo (AO),,,
VITTIGLIO MARCO - (AO),VITTIGLIO MARCO,Autore del Testo (AO),,,
VIZZINI BISACCIA LORENZO - (AO),VIZZINI BISACCIA LORENZO,Autore del Testo (AO),,,
XEFTERIS MARIA FRANCESCA - (AO),XEFTERIS MARIA FRANCESCA,Autore del Testo (AO),,,
ZANOTTI RICCARDO - (AO),ZANOTTI RICCARDO,Autore del Testo (AO),,,
ZOCCA MICHELE - (AO),ZOCCA MICHELE,Autore del Testo (AO),,,
"Alessandra Amoroso - ""Fino a qui""","Alessandra Amoroso - ""Fino a qui""",Brano,amoroso-886x494.jpg,11379635,5245639
"Alfa - ""Vai!""","Alfa - ""Vai!""",Brano,alfa-886x494.jpg,23521333,7686174
"Angelina Mango - ""La noia""","Angelina Mango - ""La noia""",Brano,angelina-mango-886x494.jpg,42990087,23113597
"Annalisa - ""Sinceramente""","Annalisa - ""Sinceramente""",Brano,annalisa-886x494.jpg,43374465,31055543
"BigMama - ""La rabbia non ti basta""","BigMama - ""La rabbia non ti basta""",Brano,bigmama-886x494.jpg,9223929,"
2537627"
"Bnkr44 - ""Governo Punk""","Bnkr44 - ""Governo Punk""",Brano,bnkr44-886x494.jpg,12403853,1906051
"Clara - ""Diamanti grezzi""","Clara - ""Diamanti grezzi""",Brano,clara-886x494.jpg,19285207,6335393
"Dargen D'Amico - ""Onda alta""","Dargen D'Amico - ""Onda alta""",Brano,dargen-damico-886x494.jpg,18149935,4566553
"Diodato - ""Ti muovi""","Diodato - ""Ti muovi""",Brano,diodato-886x494.jpg,8485578,3152535
