id;uri;preview;title;genres;artists;artistsIds;albumTitle;albumId;image;albumReleaseYear;duration;key;mode;timeSignature;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo
2qxmye6gAegTMjLKEBoR3d;spotify:track:2qxmye6gAegTMjLKEBoR3d;https://p.scdn.co/mp3-preview/209a13f2c3330d265cc9ebf4f082cd5b3174559f?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;Let Me Down Slowly;alt z | electropop | pop;Alec Benjamin;5IH6FPUwQTxPSXurCrcIov;Narrated For You;6jKZplJpy21R5lHaYHHjmZ;https://i.scdn.co/image/ab67616d00004851459d675aa0b6f3b211357370;2018;169354;1;0;4;0.74;0.652;0.557;0;0.124;-5.714;0.0318;0.483;150.073
1TQXIltqoZ5XXyfCbAeSQQ;spotify:track:1TQXIltqoZ5XXyfCbAeSQQ;https://p.scdn.co/mp3-preview/ef74567b4505ed31f11ec61362b7c3423265dfd9?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;Dancing With Your Ghost;alt z | electropop | pop;Sasha Alex Sloan;4xnihxcoXWK3UqryOSnbw5;Dancing With Your Ghost;3I677CWVoiOsbMxOQzjShB;https://i.scdn.co/image/ab67616d00004851141cf717cd3993690358a60c;2019;197732;11;1;4;0.768;0.629;0.328;0.000025;0.103;-8.284;0.029;0.389;74.953
1veHwv1HPwzOvlhs5jPxeP;spotify:track:1veHwv1HPwzOvlhs5jPxeP;https://p.scdn.co/mp3-preview/ae3c33cecd34f1ee8dd96db8609d8a49511a8c95?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;blame's on me;alt z | pop | post-teen pop;Alexander Stewart;0znpFLuaey34oJTE1jHSnT;blame's on me;1dpLDMwavEN9eXN23N7liY;https://i.scdn.co/image/ab67616d000048514fd2d2a9e90bf7d20cc5a354;2022;138375;1;0;3;0.863;0.306;0.121;0;0.167;-17.118;0.0396;0.238;159.08
6IaOyzYlT5809ASyUKzDPq;spotify:track:6IaOyzYlT5809ASyUKzDPq;https://p.scdn.co/mp3-preview/96cdc0ab3fc62096b2131f29421c844ff4fd0b1b?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;lonely bitch;alt z | dance pop | electropop | indie poptimism | pop | post-teen pop | talent show;Bea Miller;1o2NpYGqHiCq7FoiYdyd1x;lonely bitch;63SAV7dDaGuXCiorabPaze;https://i.scdn.co/image/ab67616d000048512551ed099b5b216a76b2d4ec;2023;175998;4;0;4;0.00213;0.508;0.884;0;0.216;-3.601;0.0753;0.587;175.983
5WtfUKzXircvW8l5aaVZWT;spotify:track:5WtfUKzXircvW8l5aaVZWT;https://p.scdn.co/mp3-preview/2b74c2a7ea50a423aa9b1ed40e45e4e14a609da4?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;What A Time (feat. Niall Horan);alt z | dance pop | electropop | pop | post-teen pop | neo mellow;Julia Michaels / Niall Horan;0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4;Inner Monologue Part 1;1xJ7jIK1tT0aVoJw1fPE6r;https://i.scdn.co/image/ab67616d000048517e706949994bcef39b09da4e;2019;173307;0;1;4;0.662;0.516;0.467;0;0.0853;-6.184;0.0302;0.386;132.861
5MWXOo8DJwgODtPGaietNz;spotify:track:5MWXOo8DJwgODtPGaietNz;https://p.scdn.co/mp3-preview/72f8092a49177894b81017dedb69a02d56b699f6?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;cinderella's dead;alt z;EMELINE;4S38gbKfKkEbty2YAIDIlV;cinderella's dead;7xynMeclusR20e0CXvvSOS;https://i.scdn.co/image/ab67616d00004851b90582e9dd66ada7f5597957;2022;120666;6;0;4;0.33;0.596;0.607;0;0.103;-6.179;0.168;0.531;119.882
6Jkm5kUldvIqxzI1Pa7nXH;spotify:track:6Jkm5kUldvIqxzI1Pa7nXH;https://p.scdn.co/mp3-preview/1cfff00432155434a5bdeb917eccc7f2197148ad?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;10 Things I Hate About You;alt z | pop | post-teen pop;Leah Kate;6oWOHAOyBUn6aJlKIPJK9r;10 Things I Hate About You;26hYEKjKZU1sTC4mUPpVI6;https://i.scdn.co/image/ab67616d00004851596a9d381ffda7d97da5d702;2022;157138;8;1;4;0.00991;0.544;0.786;0;0.169;-2.97;0.0501;0.446;153.967
1nYzjrdVQ8RpF93M0jPFW7;spotify:track:1nYzjrdVQ8RpF93M0jPFW7;https://p.scdn.co/mp3-preview/b2fddb526ed66258ded42eedce3650ab7348222c?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;Remember That Night?;alt z | gen z singer-songwriter | indie pop | modern indie pop | pop;Sara Kays;7Lk9V7E1u5gqSHmtcKlOqH;Remember That Night?;239r63fqY8PyWX9WcgwNzP;https://i.scdn.co/image/ab67616d00004851f36780c7d24ed9e6340c1fde;2020;227186;7;0;4;0.585;0.679;0.61;0.0000951;0.156;-10.936;0.0305;0.554;123.978
1EYqDZG3dgbecqv9JS2lUd;spotify:track:1EYqDZG3dgbecqv9JS2lUd;https://p.scdn.co/mp3-preview/bc28ad341fc12162c986035a542ffe9b3c1c6668?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;drunk text me;alt z | social media pop;Lexi Jayde;69761NObDw2KwmmFgZmxzC;drunk text me;1eH3r6vSBAUdRKGeoQE54t;https://i.scdn.co/image/ab67616d00004851d85d1abe13d731d6a800db40;2022;213133;0;1;4;0.292;0.532;0.492;0;0.0889;-6.818;0.0307;0.225;80.039
0j1Ia2lQWrcXrQZI4AdJlk;spotify:track:0j1Ia2lQWrcXrQZI4AdJlk;https://p.scdn.co/mp3-preview/981a2d39241639608c8b389e29bc1a0cd0f6e793?cid=61a9bb7d5c7b4b0993b2a4af35e647a3;IDK You Yet;alt z | pop;Alexander 23;6sFHvCyqklnJpXC9Nh1aag;IDK You Yet (Live on Piano);2MV7PrKdCcislKUAPMyEA2;https://i.scdn.co/image/ab67616d00004851fe03064db12346c962cd0c56;2020;184638;1;1;1;0.886;0.648;0.308;0.0774;0.124;-11.729;0.04;0.198;76.997
