id,uri,preview,title,genres,artists,artistsIds,albumTitle,albumId,image,albumReleaseYear,duration,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
2M92oXk1TaeT6diExjKtVw,spotify:track:2M92oXk1TaeT6diExjKtVw,https://p.scdn.co/mp3-preview/dd93e63fb8dc92be561a59c12da03a281629cfef?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Bitter,alt z | pop,FLETCHER / Kito,"5qa31A9HySw3T7MKWI9bGg,3FLUBwpAnaIlIKeaBfsxFe",THE S(EX) TAPES [Extended],6hhMIHEN6xFMs8Ylj5Bvkj,https://i.scdn.co/image/ab67616d00004851fc7a4716843bf6768776a537,2020,194760,6,0,4,0.394,0.722,0.593,0.00132,0.0871,-7.564,0.102,0.417,135.996
5srKMwXoeyrRnyTnNbpgIW,spotify:track:5srKMwXoeyrRnyTnNbpgIW,https://p.scdn.co/mp3-preview/54e3323d61200138c7a64b59f120b10139b19a2b?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,People I Don't Like,alt z | modern indie pop,UPSAHL,1294QqYm1VuxxjRiL9M0h9,People I Don't Like,56c9o6LVrsm995xmDpAZrA,https://i.scdn.co/image/ab67616d00004851de3975b105bc6d216359ffe6,2020,142766,11,0,4,0.268,0.747,0.573,0,0.302,-6.562,0.295,0.551,90.036
7uUahoeqGNRMbpdeiLj1rS,spotify:track:7uUahoeqGNRMbpdeiLj1rS,https://p.scdn.co/mp3-preview/9081593f6f767e7917143c408d248da10fd5381c?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Panic Room,alt z | deep pop edm,Au/Ra,1eMmoIprPDWeFdB1FxU6ZV,Panic Room,3F83QiIRImUneMzZdSaTTM,https://i.scdn.co/image/ab67616d000048517cbd52d55d79391b9ea54f88,2018,237773,8,1,4,0.152,0.495,0.426,0.00000565,0.099,-9.434,0.0736,0.0636,97.91
0g21KZ1XJuhwexWPLpuEt1,spotify:track:0g21KZ1XJuhwexWPLpuEt1,https://p.scdn.co/mp3-preview/ee5881632ab27041caa2659e194645edd9336896?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,You & Jennifer,alt z | indietronica,bülow,5vBrKGOjN10BMwB0cJADj4,Damaged Vol. 2,1gZ3Wi966cliRIktXiaWij,https://i.scdn.co/image/ab67616d0000485113a87b2d211dd42688acf1c4,2018,159453,11,1,4,0.52,0.752,0.698,0,0.211,-6.53,0.306,0.347,132.058
4xb8JHIN56xixSl6vkSPjm,spotify:track:4xb8JHIN56xixSl6vkSPjm,https://p.scdn.co/mp3-preview/5a992bf1e41944372da7d9943e904475bf9b2676?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Siren,alt z | dark pop,Kailee Morgue,245PKF3hKjtxJKIG153kF0,Siren,4VVcfdD0w5pUHN96udQQsi,https://i.scdn.co/image/ab67616d000048517b0571f90fc7aae21b833571,2018,200267,10,0,4,0.454,0.603,0.512,0.00014,0.154,-6.687,0.0402,0.271,145.91
2D0FX6WiP1GKGL3yCdXxs7,spotify:track:2D0FX6WiP1GKGL3yCdXxs7,https://p.scdn.co/mp3-preview/99e6cbecf7c0ddaef9dac1bb121d21501a7276da?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Joke's On You,alt z,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,Joke's On You,2Eu9J7STgsK7ojEDgXVN0A,https://i.scdn.co/image/ab67616d000048519475458ba9525723c298c6b0,2020,184659,2,0,3,0.23,0.476,0.652,0,0.136,-4.546,0.104,0.47,190.118
7v1TTGF8kd4Mn8XssZY7rT,spotify:track:7v1TTGF8kd4Mn8XssZY7rT,https://p.scdn.co/mp3-preview/8a9edc442a4b96631c2c9f0872161e4afc11b506?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,covering faces,alt z,Carlie Hanson,3mPc8WGusz2XF3Tvs3AKCR,covering faces,2u8dwTpUga597G3ZJqPk21,https://i.scdn.co/image/ab67616d000048518018043e18da8c55ff4143de,2024,178261,8,1,4,0.162,0.688,0.475,0.000136,0.107,-9.963,0.0432,0.34,137.997
6E37j4b44JGpdk297urpKM,spotify:track:6E37j4b44JGpdk297urpKM,https://p.scdn.co/mp3-preview/496e28faa39f29fa6667e76b6598f09b302fd77a?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,like that,alt z | pop | talent show,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,aurora,2rQu10gUgBVYzgsitDZNyU,https://i.scdn.co/image/ab67616d00004851f6aca65621e1665d7da316ff,2018,185547,6,0,4,0.186,0.573,0.441,0,0.61,-5.799,0.0758,0.389,61.657
2jRISGsO4RTm9CQVb1Jusn,spotify:track:2jRISGsO4RTm9CQVb1Jusn,https://p.scdn.co/mp3-preview/6cab2bc774018ae7a58db2659064ffda52c56a62?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,I'm Not Her,alt z | swedish pop,Clara Mae,6RHKEd9dpzQ4c09x8Zdaxu,I'm Not Her,50wevJ0SWIDdoA6p5EEOXq,https://i.scdn.co/image/ab67616d000048511c3d906e5ea6f3bf4ec07f7a,2017,194204,2,1,5,0.228,0.477,0.51,0,0.0755,-8.94,0.275,0.477,111.893
1NDxZ7cFAo481dtYWdrUnR,spotify:track:1NDxZ7cFAo481dtYWdrUnR,https://p.scdn.co/mp3-preview/4d3b53aa5ac76080ebeae0177eb57117ddd1a898?cid=61a9bb7d5c7b4b0993b2a4af35e647a3,Pretty Girl - Cheat Codes X CADE Remix,alt z | dark pop | pop,Maggie Lindemann / Cheat Codes / CADE,"0uGk2czvcpWQA383Im6ajf,7DMveApC7UnC2NPfPvlHSU,0CEK8AzyeD5ZUdUloB6yQV",Pretty Girl (Cheat Codes X CADE Remix),1XYA8eDvomdYTbQBzk0jT1,https://i.scdn.co/image/ab67616d000048517c7436e1b6273be0e7bc1a84,2017,193613,7,0,4,0.15,0.703,0.868,0.132,0.104,-4.661,0.0291,0.733,121.03
